category,metric,label,direction,n,p05,p25,p50,p75,p95,best_break_depth,reason
L,isoform_localization_deeploc_prob_golgi_apparatus,isoform_localization_deeploc_prob_golgi_apparatus high,>=,6462,0.0240000002086162,0.0873000025749206,0.1953999996185302,0.3287000060081482,0.61080002784729,0.619,"no in-band cutoff — continuous, range-filter it instead"
L,isoform_localization_deeploc_prob_lysosome_vacuole,isoform_localization_deeploc_prob_lysosome_vacuole high,>=,6462,0.0200999993830919,0.07512499764561648,0.18034999817609784,0.3370499983429908,0.6102750033140182,0.512,"no in-band cutoff — continuous, range-filter it instead"
L,isoform_localization_deeploc_prob_mitochondrion,isoform_localization_deeploc_prob_mitochondrion high,>=,6462,0.038504999876022294,0.08972499892115587,0.16624999791383738,0.2929750084877014,0.619754973053932,0.773,"no in-band cutoff — continuous, range-filter it instead"
L,isoform_localization_deeploc_prob_peroxisome,isoform_localization_deeploc_prob_peroxisome high,>=,6462,0.0007999999797903,0.0046000001020729,0.0157999992370605,0.0502999983727932,0.23229499831795689,1.0,"no in-band cutoff — continuous, range-filter it instead"
L,isoform_signalp_signalp_probability,isoform_signalp_signalp_probability high,>=,6462,0.0,0.0,0.0,0.0,0.008923699999999958,1.0,"no in-band cutoff — continuous, range-filter it instead"
L,isoform_targetp_targetp_mtp_prob,isoform_targetp_targetp_mtp_prob high,>=,6462,1.0500000000000113e-06,3.2e-05,0.000331,0.005916,0.24917844999999952,0.909,"no in-band cutoff — continuous, range-filter it instead"
L,isoform_targetp_targetp_sp_prob,isoform_targetp_targetp_sp_prob high,>=,6462,2e-06,2.7249999999999998e-05,0.000232,0.004354,0.4686021999999995,0.818,"no in-band cutoff — continuous, range-filter it instead"
M,abs:isoform_varianteffect_mean_delta_llr_shared,isoform_varianteffect_mean_delta_llr_shared changes appreciably,>=,6137,1.616913531704679,2.7896324089696467,3.6136043908461084,4.4402023095351,5.579619205672693,0.5,"no in-band cutoff — continuous, range-filter it instead"
M,abs:isoform_varianteffect_mean_delta_llr_shared_disease,isoform_varianteffect_mean_delta_llr_shared_disease changes appreciably,>=,6118,1.8376366307428764,3.1428774960338757,4.094202870668909,5.206213554511521,6.841449986926181,0.647,"no in-band cutoff — continuous, range-filter it instead"
M,abs:isoform_varianteffect_mean_delta_llr_shared_gnomad,isoform_varianteffect_mean_delta_llr_shared_gnomad changes appreciably,>=,6134,1.4965912827831542,2.6004153229085616,3.3873689811260896,4.153665615372199,5.248716552088859,0.762,"no in-band cutoff — continuous, range-filter it instead"
M,abs:isoform_varianteffect_mean_delta_llr_unique,isoform_varianteffect_mean_delta_llr_unique changes appreciably,>=,6368,0.10424952651515153,0.6125872825091575,2.4812198061723887,3.8594267987522235,5.720167894363403,0.497,"no in-band cutoff — continuous, range-filter it instead"
M,abs:isoform_varianteffect_mean_delta_llr_unique_disease,isoform_varianteffect_mean_delta_llr_unique_disease changes appreciably,>=,5861,0.09375,0.93359375,2.8868476828349006,4.47927755768345,6.980884357734963,0.527,"no in-band cutoff — continuous, range-filter it instead"
M,abs:isoform_varianteffect_min_delta_llr_shared,isoform_varianteffect_min_delta_llr_shared changes appreciably,>=,6137,9.812068939208984,12.17529296875,13.312278747558594,14.40625,16.124740600585938,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,abs:isoform_varianteffect_min_delta_llr_shared_disease,isoform_varianteffect_min_delta_llr_shared_disease changes appreciably,>=,6118,8.624240684509278,11.419586181640625,12.62430191040039,13.812486976385117,15.687412810325622,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,abs:isoform_varianteffect_min_delta_llr_shared_gnomad,isoform_varianteffect_min_delta_llr_shared_gnomad changes appreciably,>=,6134,9.586279296875,11.871475219726562,12.937374114990234,14.062086582183838,15.686050415039062,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,abs:isoform_varianteffect_min_delta_llr_unique,isoform_varianteffect_min_delta_llr_unique changes appreciably,>=,6368,1.3125,4.185546875,10.55450439453125,12.90313720703125,15.11126708984375,0.806,"no in-band cutoff — continuous, range-filter it instead"
M,abs:isoform_varianteffect_min_delta_llr_unique_disease,isoform_varianteffect_min_delta_llr_unique_disease changes appreciably,>=,5861,0.125,2.796875,9.691650390625,12.311187744140625,14.56233024597168,0.876,"no in-band cutoff — continuous, range-filter it instead"
M,abs:isoform_varianteffect_min_delta_llr_unique_gnomad,isoform_varianteffect_min_delta_llr_unique_gnomad changes appreciably,>=,6344,1.171875,4.0380859375,10.261474609375,12.622390747070312,14.746963500976562,0.772,"no in-band cutoff — continuous, range-filter it instead"
M,cmp_clinical_hits_in_diff_region__len,cmp_clinical_hits_in_diff_region__len high,>=,6462,7.0,36.0,110.0,457.5,2259.7999999999993,0.857,"no in-band cutoff — continuous, range-filter it instead"
M,cmp_clinical_n_hits_in_diff_region,cmp_clinical_n_hits_in_diff_region high,>=,6462,7.0,36.0,110.0,457.5,2259.7999999999993,0.857,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_clinical_hits__len,isoform_clinical_hits__len high,>=,6462,302.0,657.0,1065.0,1770.75,4373.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
