feature,module,pane,category,category_source,criteria,scored,dtype,fill_rate,n_unique,include_in_plot,exclude_reason,encodable_as,transform,label,derived_from,duplicate_of,null_pattern,fill_separate_orfs
canonical_motifs_summary.Heme_CXXCH_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,85,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.Mode1_1433,motifs,canonical,S,module_map,,False,int,1.0,2,False,binary,binary_0_1,linear,,,,,
canonical_motifs_summary.Mode1_1433_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,47,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.Mode2_1433,motifs,canonical,S,module_map,,False,int,1.0,14,True,,numeric,linear,,,,,1.0
canonical_motifs_summary.Mode2_1433_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,1059,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.PIP_box,motifs,canonical,S,module_map,,False,int,1.0,3,True,,numeric,linear,,,,,1.0
canonical_motifs_summary.PIP_box_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,97,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.RGG_Sites,motifs,canonical,S,module_map,,False,int,1.0,12,True,,numeric,linear,,,,,1.0
canonical_motifs_summary.RGG_Sites_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,379,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.RGG_clusters,motifs,canonical,S,module_map,,False,int,1.0,5,True,,numeric,linear,,,,,1.0
canonical_motifs_summary.RG_rich,motifs,canonical,S,module_map,,False,int,1.0,2,False,binary,binary_0_1,linear,,,,,
canonical_motifs_summary.RING_finger,motifs,canonical,S,module_map,,False,int,1.0,3,True,,numeric,linear,,,,,1.0
canonical_motifs_summary.RING_finger_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,42,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.SH3_ClassI,motifs,canonical,S,module_map,,False,int,1.0,11,True,,numeric,linear,,,,,1.0
canonical_motifs_summary.SH3_ClassII,motifs,canonical,S,module_map,,False,int,1.0,11,True,,numeric,linear,,,,,1.0
canonical_motifs_summary.SH3_ClassII_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,610,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.SH3_ClassI_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,624,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.ZnF_C2H2,motifs,canonical,S,module_map,,False,int,1.0,20,True,,numeric,linear,,,,,1.0
canonical_motifs_summary.ZnF_C2H2_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,100,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.density_1433_per100aa,motifs,canonical,S,module_map,,False,float,1.0,1059,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.total_1433,motifs,canonical,S,module_map,,False,int,1.0,14,True,,numeric,log1p,,,,,1.0
n_canonical_motifs_hits,motifs,canonical,S,module_map,,False,int,1.0,96,True,,numeric,log1p,,canonical_motifs_hits,,,1.0
cmp_motifs_hits_canonical_status,motifs,cmp,S,module_map,,False,null,0.0,0,False,all_null,-,-,,,,,
cmp_motifs_hits_in_diff_region,motifs,cmp,S,module_map,,False,list,1.0,80,False,list,count,-,,,,,
cmp_motifs_hits_isoform_status,motifs,cmp,S,module_map,,False,null,0.0,0,False,all_null,-,-,,,,,
cmp_motifs_hits_source_pane,motifs,cmp,S,module_map,,False,str,1.0,2,False,categorical,one_hot,-,,,,,
cmp_motifs_n_hits_in_diff_region,motifs,cmp,S,module_map,,False,int,1.0,80,True,,numeric,linear,,,,,1.0
n_cmp_motifs_hits_in_diff_region,motifs,cmp,S,module_map,,False,int,1.0,80,False,redundant,numeric,log1p,,cmp_motifs_hits_in_diff_region,cmp_motifs_n_hits_in_diff_region,,1.0
isoform_motifs_hits,motifs,isoform,S,module_map,,False,list,1.0,86,False,list,count,-,,,,,
isoform_motifs_summary.APIM,motifs,isoform,S,module_map,,False,int,1.0,4,True,,numeric,linear,,,,,1.0
isoform_motifs_summary.APIM_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,127,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.ATM_Sites_SQ_TQ,motifs,isoform,S,module_map,,False,int,1.0,36,True,,numeric,linear,,,,,1.0
isoform_motifs_summary.ATM_Sites_SQ_TQ_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,2019,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.CDK_Sites_SP_TP,motifs,isoform,S,module_map,,False,int,1.0,53,True,,numeric,linear,,,,,1.0
isoform_motifs_summary.CDK_Sites_SP_TP_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,2394,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.EB1_SxIP,motifs,isoform,S,module_map,,False,int,1.0,12,True,,numeric,linear,,,,,1.0
isoform_motifs_summary.EB1_SxIP_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,1143,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.Heme_CP_HRM,motifs,isoform,S,module_map,,False,int,1.0,3,True,,numeric,linear,,,,,1.0
isoform_motifs_summary.Heme_CP_HRM_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,27,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.Heme_CXXCH,motifs,isoform,S,module_map,,False,int,1.0,4,True,,numeric,linear,,,,,1.0
isoform_motifs_summary.Heme_CXXCH_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,119,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.Mode1_1433,motifs,isoform,S,module_map,,False,int,1.0,2,False,binary,binary_0_1,linear,,,,,
isoform_motifs_summary.Mode1_1433_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,66,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.Mode2_1433,motifs,isoform,S,module_map,,False,int,1.0,14,True,,numeric,linear,,,,,1.0
isoform_motifs_summary.Mode2_1433_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,1248,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.PIP_box,motifs,isoform,S,module_map,,False,int,1.0,3,True,,numeric,linear,,,,,1.0
isoform_motifs_summary.PIP_box_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,135,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.RGG_Sites,motifs,isoform,S,module_map,,False,int,1.0,11,True,,numeric,linear,,,,,1.0
isoform_motifs_summary.RGG_Sites_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,489,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.RGG_clusters,motifs,isoform,S,module_map,,False,int,1.0,4,True,,numeric,linear,,,,,1.0
isoform_motifs_summary.RG_rich,motifs,isoform,S,module_map,,False,int,1.0,2,False,binary,binary_0_1,linear,,,,,
isoform_motifs_summary.RING_finger,motifs,isoform,S,module_map,,False,int,1.0,3,True,,numeric,linear,,,,,1.0
isoform_motifs_summary.RING_finger_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,42,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.SH3_ClassI,motifs,isoform,S,module_map,,False,int,1.0,9,True,,numeric,linear,,,,,1.0
isoform_motifs_summary.SH3_ClassII,motifs,isoform,S,module_map,,False,int,1.0,10,True,,numeric,linear,,,,,1.0
isoform_motifs_summary.SH3_ClassII_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,764,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.SH3_ClassI_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,772,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.ZnF_C2H2,motifs,isoform,S,module_map,,False,int,1.0,18,True,,numeric,linear,,,,,1.0
